,name,link,num_page
128,[PDF] greeninstitute.ng,https://greeninstitute.ng/s/bmjm1282full.pdf,5.0
129,[PDF] journalacs.org,https://www.journalacs.org/article/S1072-7515(20)30308-2/pdf,10.0
130,[PDF] keepournhspublic.com,https://keepournhspublic.com/wp-content/uploads/2020/03/Covid-19-advice.pdf,3.0
131,[PDF] oftalmouniversity.com,https://oftalmouniversity.com/wp-content/uploads/youzer/file_5e52ae1af358a.pdf,2.0
132,[PDF] sagepub.com,https://journals.sagepub.com/doi/pdf/10.1177/0022034520914246?fbclid=IwAR0y_pqyrGijVIOsnAhgyTPD-v9jzstaruBTR-fOjeuF3MUVhW6R7WTUwxE,7.0
133,[PDF] seme.org,https://www.seme.org/site/docs/covid-19/Lamontagne_2020_Towards_universal_guidelines_care_Covid19.pdf,9.0
134,[PDF] sgul.ac.uk,http://openaccess.sgul.ac.uk/111776/1/Covid-19%20-%20a%20guide%20for%20UK%20GPs.pdf,6.0
135,[PDF] tandfonline.com,https://www.tandfonline.com/doi/pdf/10.1080/01459740.2020.1746300,9.0
136,[PDF] umich.edu,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/154737/Daaleman%20appendix%20Deep%20Blue.pdf?sequence=2,2.0
137,… MODIFIED VENTILATION MASK TO AVOID AEROSOLIZING SPREAD OF DROPLETS FOR SHORT ENDOSCOPIC PROCEDURES DURING CORONAVIRUS COVID …,https://www.giejournal.org/inpress,8.0
138,… of COVID-19 among medically not diagnosed individuals: shedding light on current recommendations provided to individuals not medically diagnosed with COVID-19,https://covid19-evidence.paho.org/handle/20.500.12663/859,1.0
